company_id,name,GSTIN,PAN,registration_date,address,city,state,industry,avg_monthly_turnover,is_shell,is_high_risk,is_fraud,total_sent_amount,sent_invoice_count,avg_sent_amount,std_sent_amount,total_itc_sent,total_gst_sent,total_received_amount,received_invoice_count,avg_received_amount,std_received_amount,total_itc_received,total_gst_received,total_invoices,total_amount_all,avg_invoice_amount,total_itc_all,total_gst_all,itc_ratio
D04C7553,Global 000,DLVMBIR5312G5134,VMBIR5312G,2018-06-13,"670 Tech Park, Hyderabad",Jaipur,DL,Logistics,245097.92,0,0,0,349714.96,6.0,58285.82666666667,60812.07460204385,42552.75,32564.579999999998,676966.1,4.0,169241.525,292913.59600686416,81606.3,44133.96000000001,10.0,1026681.06,102668.106,124159.05,76698.54000000001,0.12093244420034396
D04C9815,Acme 001,GJKQZXI9811Q6067,KQZXI9811Q,2018-05-12,"881 Market Rd, Pune",Mumbai,GJ,Logistics,385322.92,1,0,1,1567012.14,4.0,391753.035,203503.2709020125,207322.25999999998,186869.52000000002,322997.98,2.0,161498.99,160857.52962110602,48062.04,52006.600000000006,6.0,1890010.1199999999,315001.68666666665,255384.3,238876.12000000002,0.13512324473691179
D04C5838,Acme 002,RJDEIFD0637R2447,DEIFD0637R,2023-12-02,"486 MG Road, Chennai",Ahmedabad,RJ,Metals,289332.03,0,0,0,63957.18,3.0,21319.06,15563.985717582113,5557.97,10117.61,30253.35,1.0,30253.35,0.0,3765.88,3970.95,4.0,94210.53,23552.6325,9323.85,14088.560000000001,0.09896823635319747
D04C6904,Prime 003,WBRWXHZ6481C7730,RWXHZ6481C,2019-10-02,"745 Main St, Surat",Jaipur,WB,Food & Bev,100000.0,0,0,0,103470.27,4.0,25867.5675,21797.351211558365,11346.289999999999,15086.19,19133.02,1.0,19133.02,0.0,1544.48,2237.17,5.0,122603.29000000001,24520.658000000003,12890.769999999999,17323.36,0.10514212139005404
D04C8088,Tech 004,DLLLXRZ5942C5042,LLXRZ5942C,2020-07-16,"512 Industrial Area, Delhi",Bengaluru,DL,Retail,217170.33,0,0,0,175395.18,9.0,19488.353333333333,10592.178714215266,20707.559999999998,25571.04,81091.79000000001,3.0,27030.596666666668,3148.690949368219,7615.1900000000005,8803.01,12.0,256486.97,21373.914166666666,28322.75,34374.05,0.11042568751153324
D04C6812,Prime 005,GJGYNGW6597F9009,GYNGW6597F,2018-10-10,"410 Station Rd, Ahmedabad",Bengaluru,GJ,Construction,143873.59,0,0,0,24152.56,1.0,24152.56,0.0,3865.63,3580.8,119844.78,4.0,29961.195,23975.789461107775,12862.849999999999,16348.73,5.0,143997.34,28799.468,16728.48,19929.53,0.11617214595769616
D04C6843,Star 006,TNQPPPL9358N2178,QPPPL9358N,2020-04-14,"214 Tech Park, Delhi",Pune,TN,Retail,154628.33,0,0,0,175499.88,3.0,58499.96,25716.89904318753,13295.21,12184.43,617362.63,7.0,88194.66142857143,106267.21964120127,87659.98,83836.27,10.0,792862.51,79286.251,100955.19,96020.70000000001,0.12733000832641211
D04C2897,Star 007,TNPITCS5380R9919,PITCS5380R,2022-02-19,"819 Tech Park, Bengaluru",Surat,TN,Consulting,109538.74,0,0,0,127763.56,5.0,25552.712,18281.038176538827,11923.01,17834.82,118172.45000000001,2.0,59086.225000000006,33187.05975442914,12684.53,13397.6,7.0,245936.01,35133.71571428572,24607.54,31232.42,0.1000566773446475
D04C9890,Tech 008,KANZPEG3990V9028,NZPEG3990V,2020-02-16,"870 Market Rd, Delhi",Bengaluru,KA,Food & Bev,152447.31,1,0,1,393617.71,1.0,393617.71,0.0,26966.03,33047.18,554665.5800000001,9.0,61629.5088888889,88283.15941804607,59309.83,52255.93,10.0,948283.29,94828.329,86275.86,85303.11,0.09098110333674655
D04C4039,Acme 009,MHLABDC1391K6045,LABDC1391K,2021-05-17,"539 MG Road, Chennai",Jaipur,MH,Energy,296591.41,0,0,0,93685.13,3.0,31228.376666666667,32544.252348465983,9518.720000000001,14788.54,100782.13999999998,3.0,33594.04666666666,30428.297247260372,14108.01,13408.289999999999,6.0,194467.27,32411.211666666666,23626.730000000003,28196.83,0.1214946350612111
