company_id,name,GSTIN,PAN,registration_date,address,city,state,industry,avg_monthly_turnover,is_shell,is_high_risk,is_fraud,total_sent_amount,sent_invoice_count,avg_sent_amount,std_sent_amount,total_itc_sent,total_gst_sent,total_received_amount,received_invoice_count,avg_received_amount,std_received_amount,total_itc_received,total_gst_received,total_invoices,total_amount_all,avg_invoice_amount,total_itc_all,total_gst_all,itc_ratio
D10C1893,Prime 000,TNMAWMF5104R3865,MAWMF5104R,2023-10-01,"778 MG Road, Delhi",Mumbai,TN,Logistics,234130.3,0,0,0,25751.519999999997,2.0,12875.759999999998,6897.37410213481,2857.16,3759.91,731185.76,5.0,146237.152,172911.57393449178,70036.53,93159.33,7.0,756937.28,108133.89714285715,72893.69,96919.24,0.09630083221690441
D10C7766,Acme 001,KAVOXJL4696M3920,VOXJL4696M,2020-01-21,"435 Tech Park, Jaipur",Mumbai,KA,Chemicals,100000.0,0,0,0,227628.49,6.0,37938.081666666665,21702.31664931504,28077.17,24859.75,1450093.46,3.0,483364.48666666663,415681.40386158274,138012.9,192852.63,9.0,1677721.95,186413.55,166090.07,217712.38,0.09899737557823572
D10C8175,Prime 002,GJSUPGU0123Y2042,SUPGU0123Y,2018-02-15,"847 Main St, Ahmedabad",Hyderabad,GJ,Energy,192585.22,0,0,0,106994.06,4.0,26748.515,19327.27062929218,8712.220000000001,12768.66,123066.01000000001,5.0,24613.202,14784.834137683793,15867.66,13261.560000000001,9.0,230060.07,25562.23,24579.88,26030.22,0.10684113935982024
D10C9004,Star 003,TNMFMSP9553W7391,MFMSP9553W,2023-08-07,"786 MG Road, Ahmedabad",Ahmedabad,TN,Retail,100000.0,0,0,0,219535.66,5.0,43907.132,37327.76258795817,29917.58,34619.979999999996,832604.6799999999,8.0,104075.58499999999,189420.30202054325,108152.3,69132.09,13.0,1052140.3399999999,80933.87230769229,138069.88,103752.06999999999,0.13122762691524595
D10C7471,Star 004,GJISMUE1976L9261,ISMUE1976L,2022-02-08,"539 Market Rd, Mumbai",Jaipur,GJ,Metals,164742.82,0,0,0,233450.41,6.0,38908.401666666665,41563.02578252186,20105.69,36197.61,681223.6399999999,7.0,97317.66285714284,215123.81180986922,87564.29,83902.41,13.0,914674.0499999999,70359.5423076923,107669.98,120100.02,0.11771404250508692
D10C5587,Prime 005,KAWRDXF5113H9522,WRDXF5113H,2019-01-15,"601 Station Rd, Kolkata",Surat,KA,Energy,214502.29,0,0,0,16557.05,1.0,16557.05,0.0,2864.84,1251.67,130698.07999999999,5.0,26139.615999999998,25657.462045485518,14140.11,20156.34,6.0,147255.12999999998,24542.521666666664,17004.95,21408.010000000002,0.11547950825210641
D10C1466,Star 006,GJFYPBS4168J2015,FYPBS4168J,2020-04-06,"909 Market Rd, Delhi",Kolkata,GJ,Textiles,398472.03,1,0,1,2841151.94,7.0,405878.84857142856,84271.12663408216,310659.23,287773.66000000003,265171.58,5.0,53034.316000000006,25795.69093169885,35080.99,33518.33,12.0,3106323.52,258860.29333333333,345740.22,321291.99000000005,0.1113020642486073
D10C3810,Star 007,KALPVGN3561T1676,LPVGN3561T,2019-05-21,"442 Outer Ring, Jaipur",Hyderabad,KA,Pharma,258284.11,0,0,0,440763.8,5.0,88152.76,114693.36472498812,38766.69,38249.89,140940.91,8.0,17617.61375,13322.813560264576,16436.5,15206.1,13.0,581704.71,44746.516153846154,55203.19,53455.99,0.09489899093304574
D10C8032,Global 008,TSGYMAB6511N9264,GYMAB6511N,2018-10-25,"792 MG Road, Hyderabad",Bengaluru,TS,Chemicals,118330.09,0,0,0,91320.75,3.0,30440.25,14301.326340731479,11946.970000000001,10169.7,515638.98,4.0,128909.745,179256.3344290625,39433.45,34171.93,7.0,606959.73,86708.53285714285,51380.42,44341.630000000005,0.08465210698574681
D10C8422,Prime 009,TSDICHU7592N3013,DICHU7592N,2019-09-21,"660 Outer Ring, Ahmedabad",Jaipur,TS,Energy,454090.74,0,0,0,127423.98000000001,5.0,25484.796000000002,10336.302340270433,12757.93,14050.220000000001,153355.8,4.0,38338.95,20753.716297574272,20973.46,14868.26,9.0,280779.78,31197.753333333338,33731.39,28918.480000000003,0.12013468348753602
