company_id,name,GSTIN,PAN,registration_date,address,city,state,industry,avg_monthly_turnover,is_shell,is_high_risk,is_fraud,total_sent_amount,sent_invoice_count,avg_sent_amount,std_sent_amount,total_itc_sent,total_gst_sent,total_received_amount,received_invoice_count,avg_received_amount,std_received_amount,total_itc_received,total_gst_received,total_invoices,total_amount_all,avg_invoice_amount,total_itc_all,total_gst_all,itc_ratio
D03C7843,Acme 000,TNTTTEB1237M4245,TTTEB1237M,2023-06-22,"78 Station Rd, Kolkata",Delhi,TN,Textiles,165787.54,0,0,0,220800.07,6.0,36800.011666666665,24022.242259698753,16959.170000000002,20421.01,40041.04,1.0,40041.04,0.0,3600.28,4430.14,7.0,260841.11000000002,37263.01571428571,20559.45,24851.149999999998,0.07881982253487572
D03C2881,Acme 001,MHJSLIF1062T5394,JSLIF1062T,2021-03-08,"657 Ring Rd, Surat",Surat,MH,Retail,195286.93,0,0,0,58290.29,2.0,29145.145,10258.500120487886,6541.139999999999,6607.27,266862.89,4.0,66715.7225,85157.6262908024,30785.58,29479.11,6.0,325153.18,54192.19666666666,37326.72,36086.380000000005,0.11479733951856169
D03C5449,Prime 002,KAGOKTZ1922M8312,GOKTZ1922M,2019-09-24,"78 Industrial Area, Delhi",Delhi,KA,Food & Bev,123426.13,0,0,0,169470.62999999998,6.0,28245.104999999996,21038.19972131337,24613.309999999998,21489.82,117546.11,5.0,23509.222,23543.004457221898,9420.5,11419.17,11.0,287016.74,26092.43090909091,34033.81,32908.99,0.11857778748375443
D03C3339,Tech 003,GJPLHXM2647K3476,PLHXM2647K,2018-08-23,"684 Market Rd, Chennai",Pune,GJ,Telecom,141066.88,0,0,0,101995.81,4.0,25498.9525,23205.030651124445,10200.039999999999,15693.22,564845.44,3.0,188281.81333333332,218916.27306913398,79031.27,93550.67,7.0,666841.25,95263.03571428571,89231.31,109243.89,0.13381192300266367
D03C2536,Tech 004,MHMDEWA9617Z4744,MDEWA9617Z,2022-08-13,"28 MG Road, Surat",Ahmedabad,MH,Metals,100000.0,0,0,0,244423.83000000002,6.0,40737.305,26627.534053957566,24124.41,29803.629999999997,78101.15,4.0,19525.2875,9175.683592591797,7979.68,9908.58,10.0,322524.98,32252.498,32104.09,39712.21,0.09953985579659598
D03C9796,Tech 005,RJSFVXR4524B4130,SFVXR4524B,2020-11-07,"171 Ring Rd, Delhi",Hyderabad,RJ,Automotive,100000.0,0,1,1,369128.29,1.0,369128.29,0.0,48720.85,48146.58,463453.72,4.0,115863.43,128654.02522351356,66365.18,58940.159999999996,5.0,832582.01,166516.402,115086.03,107086.73999999999,0.13822786058036493
D03C1276,Tech 006,KALWHKL0514G3286,LWHKL0514G,2020-10-19,"103 Ring Rd, Chennai",Hyderabad,KA,Construction,199341.88,0,0,0,401300.68,5.0,80260.136,86371.56577874879,36904.5,48305.439999999995,26262.61,2.0,13131.305,13837.917073261062,4166.09,2984.2200000000003,7.0,427563.29,61080.469999999994,41070.59,51289.659999999996,0.09605733457612789
D03C7226,Star 007,GJHVBQO7972I8637,HVBQO7972I,2019-08-11,"620 Outer Ring, Pune",Ahmedabad,GJ,Manufacturing,100000.0,0,0,0,77403.51999999999,4.0,19350.879999999997,5715.425770450817,8367.79,11208.11,2570697.41,8.0,321337.17625,332806.5823197983,335856.35,282530.79,12.0,2648100.93,220675.0775,344224.13999999996,293738.89999999997,0.12998905596849736
D03C1475,Global 008,RJWXIEE1883W5167,WXIEE1883W,2023-11-03,"644 Main St, Jaipur",Bengaluru,RJ,Manufacturing,214454.07,0,0,0,35311.9,2.0,17655.95,7616.473414330283,3715.87,4791.599999999999,353929.84,3.0,117976.61333333334,75214.81505455315,31251.24,30785.559999999998,5.0,389241.74000000005,77848.34800000001,34967.11,35577.159999999996,0.08983391657842243
D03C5579,Acme 009,GJZDSFX0487P1679,ZDSFX0487P,2018-07-23,"442 Station Rd, Ahmedabad",Surat,GJ,Food & Bev,313192.68,0,0,0,95885.10999999999,3.0,31961.703333333327,26993.01008582839,14622.579999999998,11470.82,149572.04,4.0,37393.01,18649.41312050507,17432.21,16945.0,7.0,245457.15,35065.30714285714,32054.789999999997,28415.82,0.1305922031605109
