invoice_id,seller_id,buyer_id,invoice_date,amount,gst_amount,itc_claimed,invoice_items,status,payment_method
D01I86811,D01C7127,D01C4876,2024-02-14,41742.94,6573.33,3201.8,3475;7254;7718,Pending,Cash
D01I97194,D01C8267,D01C9677,2024-01-16,26182.47,3885.71,2806.58,5954;8808;7831,Paid,UPI
D01I92607,D01C8896,D01C3931,2024-02-19,49013.36,5249.43,5324.08,8911;9071,Cancelled,Bank Transfer
D01I24909,D01C1021,D01C2784,2024-02-29,36653.26,4446.08,4718.82,8099,Paid,Bank Transfer
D01I50407,D01C6273,D01C4376,2024-05-21,19605.68,2195.57,1229.45,7846,Paid,Cheque
D01I99352,D01C7047,D01C1833,2024-03-08,143758.0,23636.84,17963.71,4075;1281,Pending,Cash
D01I85732,D01C4060,D01C3699,2024-04-02,81023.14,14477.28,10924.13,8384;2792;8002,Paid,Bank Transfer
D01I45708,D01C5094,D01C5182,2024-04-22,15959.27,2791.05,924.35,4241,Paid,Bank Transfer
D01I36389,D01C5759,D01C9952,2024-06-20,598528.94,91468.44,38610.31,1182;9300;4586,Pending,Cheque
D01I97575,D01C8270,D01C4871,2024-02-28,415751.73,43449.56,45163.12,8729,Cancelled,UPI
D01I72318,D01C4410,D01C5108,2024-04-20,20809.96,2434.81,3340.75,2669,Paid,Cheque
D01I80428,D01C4062,D01C8915,2024-06-16,74130.23,5641.45,6677.99,1154;2490,Pending,UPI
D01I63996,D01C4362,D01C3283,2024-05-08,107315.01,7370.65,14202.73,8981;7508;1131,Paid,UPI
D01I36746,D01C8338,D01C2863,2024-02-20,93042.85,6963.2,12131.04,8072;9942;4854,Pending,Cash
D01I17665,D01C4606,D01C7806,2024-02-29,8302.69,1442.7,1369.43,9760,Pending,Bank Transfer
D01I86197,D01C7032,D01C3642,2024-03-25,32273.67,4259.68,1750.7,1463;3256;4566,Pending,UPI
D01I51755,D01C5034,D01C9677,2024-01-14,82253.4,7531.24,10104.1,3338;5307,Pending,Cheque
D01I37525,D01C8008,D01C7247,2024-05-11,22751.91,3701.5,2288.69,7285;6847,Cancelled,Cheque
D01I11145,D01C7618,D01C9706,2024-02-16,84026.88,5392.93,13922.33,9890,Paid,Cash
D01I65885,D01C5570,D01C9854,2024-04-28,22509.44,1937.56,3764.1,2470;1751;8301,Cancelled,Cash
D01I63829,D01C9854,D01C8279,2024-03-23,34756.21,1803.98,5063.39,8934,Paid,Cash
D01I32162,D01C6530,D01C7156,2024-02-23,15882.65,1790.52,1375.75,2231;1381,Pending,Cheque
D01I22134,D01C1939,D01C9755,2024-03-23,15993.95,2019.61,1659.5,7763,Paid,Cheque
D01I50916,D01C3002,D01C3330,2024-04-09,13177.09,807.15,2208.23,9361,Paid,Bank Transfer
D01I51032,D01C7132,D01C5470,2024-01-07,22978.69,1853.51,3831.1,6609;9825,Paid,Cash
D01I94613,D01C1760,D01C3830,2024-02-17,12076.05,1338.1,823.56,2599;8051,Paid,Cheque
D01I92057,D01C7234,D01C5657,2024-01-28,71431.33,6328.6,7714.79,1737;9984,Pending,Cash
D01I31331,D01C7220,D01C9223,2024-06-14,17657.73,1419.75,1162.51,7982,Cancelled,Bank Transfer
D01I92066,D01C3108,D01C3596,2024-04-27,29084.91,3840.47,5068.85,9724;7690,Cancelled,Cash
D01I76218,D01C7216,D01C7861,2024-05-28,18501.45,2411.37,1573.82,3109;7346,Paid,Bank Transfer
D01I29511,D01C5687,D01C7462,2024-02-09,61654.06,7564.35,10166.9,5025;3836;9203,Pending,Cash
D01I25209,D01C4012,D01C3456,2024-01-06,26355.73,1971.32,4027.74,8166;8174;2175,Pending,Cash
D01I12094,D01C8382,D01C1526,2024-05-21,466976.56,50764.94,38727.85,2939;1487,Paid,Bank Transfer
D01I56002,D01C2078,D01C5759,2024-06-15,40872.11,6647.88,3314.73,3085;3588;5125,Paid,Cheque
D01I96733,D01C5859,D01C5873,2024-03-18,27565.53,4715.56,1926.31,3504;2206;9335,Cancelled,UPI
D01I82130,D01C6174,D01C1706,2024-03-13,69650.88,8717.78,8017.31,4168;3816,Pending,Cheque
D01I12004,D01C3244,D01C8915,2024-04-09,20983.68,1874.27,1800.47,6497,Pending,Cheque
D01I98442,D01C7047,D01C6531,2024-04-13,5405.0,342.84,432.48,1676;3341;1095,Cancelled,UPI
D01I55821,D01C2409,D01C2786,2024-01-20,31296.23,4072.6,3574.05,7834,Pending,Cash
D01I43921,D01C9485,D01C7167,2024-02-19,275153.21,30718.97,41993.73,4250;2629;5521,Cancelled,Cash
D01I86879,D01C6135,D01C1651,2024-05-19,28352.57,4176.9,2265.6,7105;2281;9164,Paid,UPI
D01I53762,D01C3761,D01C5903,2024-06-09,18619.4,1766.44,2039.56,6413,Pending,Cash
D01I40067,D01C9990,D01C2078,2024-02-27,17305.27,925.4,1768.1,9452;7379,Paid,Cheque
D01I68936,D01C5852,D01C3064,2024-06-12,22270.59,2323.35,1363.33,8643;3145;9580,Cancelled,Cheque
D01I15518,D01C9557,D01C2286,2024-02-22,24244.0,1789.51,1373.4,8381;8868,Pending,Cash
D01I17173,D01C1804,D01C7388,2024-06-27,653474.38,60364.97,116108.31,5903,Cancelled,Bank Transfer
D01I60310,D01C5875,D01C7112,2024-01-02,48470.23,3251.76,5934.87,6786,Paid,Cash
D01I96741,D01C1223,D01C4271,2024-02-06,18588.79,2775.55,1696.27,8905;7777;7035,Pending,Bank Transfer
D01I73101,D01C1727,D01C1513,2024-02-21,43027.93,3259.09,2349.69,6888;7707;6485,Cancelled,UPI
D01I90158,D01C3725,D01C1058,2024-02-08,150850.95,10113.02,7575.21,9966;3878;5587,Cancelled,Cash
D01I94862,D01C2307,D01C3512,2024-01-28,5244.38,851.39,329.19,3451,Pending,Cash
D01I42639,D01C4060,D01C8249,2024-02-08,27989.72,5003.41,4057.16,3353;3983,Pending,Bank Transfer
D01I72253,D01C7614,D01C9895,2024-04-27,6785.42,902.97,605.27,9809;8024;2283,Cancelled,Cash
D01I43986,D01C8411,D01C4758,2024-02-27,41154.85,3031.86,6469.07,8482;7448,Cancelled,Cheque
D01I75332,D01C4254,D01C4299,2024-02-18,165730.35,18907.68,10388.68,3656,Cancelled,Cheque
D01I81324,D01C5796,D01C6532,2024-02-10,169072.39,16468.25,21620.26,5867,Paid,UPI
D01I34791,D01C7200,D01C1553,2024-06-12,9079.5,1150.26,1017.05,6284,Paid,UPI
D01I20017,D01C5165,D01C5699,2024-01-14,72605.98,8375.52,9227.74,4929;2252,Pending,Bank Transfer
D01I86885,D01C9585,D01C7584,2024-06-05,12308.1,1571.41,1577.88,8090,Cancelled,Cash
D01I61585,D01C5307,D01C6728,2024-04-21,21697.22,1385.81,1668.63,7992,Cancelled,Cash
D01I28897,D01C3512,D01C5873,2024-02-03,44040.52,7311.05,3520.99,3654,Paid,Bank Transfer
D01I45504,D01C3274,D01C3449,2024-01-18,11543.53,1130.52,1795.03,1347;2909;7417,Paid,UPI
D01I77971,D01C9677,D01C3830,2024-04-22,23958.87,3413.12,3440.71,6623;6975,Paid,UPI
D01I58640,D01C3106,D01C7758,2024-02-25,9599.64,547.77,1388.13,6290;9010,Pending,Bank Transfer
D01I39647,D01C9784,D01C1988,2024-02-17,53363.43,3062.48,3739.74,7256,Paid,Cheque
D01I38242,D01C7539,D01C7976,2024-03-16,17230.2,916.07,2985.35,4968,Pending,Cash
D01I48456,D01C2558,D01C9311,2024-03-17,15126.09,2401.81,1587.68,8640,Paid,Cheque
D01I52395,D01C8706,D01C3541,2024-03-03,16166.75,2239.35,1920.26,5009,Cancelled,Cash
D01I39563,D01C2932,D01C1894,2024-06-28,10759.45,576.49,774.82,5987,Paid,UPI
D01I95763,D01C3128,D01C1248,2024-03-25,18979.34,1595.93,3060.02,1089,Paid,UPI
D01I47096,D01C2944,D01C1112,2024-05-30,4438.66,729.01,555.15,1805;4283,Cancelled,Bank Transfer
D01I67175,D01C9555,D01C6011,2024-04-03,99486.52,8498.15,16163.36,1926,Paid,UPI
D01I71150,D01C7508,D01C1749,2024-05-24,39560.52,6308.75,5427.65,1331,Pending,Bank Transfer
D01I33074,D01C8065,D01C1651,2024-05-17,22712.92,4054.67,3367.85,9355;7178,Pending,UPI
D01I82897,D01C8895,D01C5904,2024-04-30,6154.37,610.18,650.65,7174;6576;9730,Paid,Cheque
D01I54258,D01C6435,D01C6389,2024-05-20,34436.25,4491.88,1750.1,2072;6525;6815,Cancelled,Cash
D01I91417,D01C8584,D01C2340,2024-02-05,713820.23,89002.51,84292.45,4870;7041;1011,Cancelled,Cash
D01I40585,D01C4405,D01C1058,2024-01-29,28681.05,4126.43,5075.57,5293,Paid,Cash
D01I62035,D01C3922,D01C4357,2024-05-19,9948.82,870.47,702.05,8150;2729,Pending,Bank Transfer
D01I46835,D01C1978,D01C1776,2024-01-24,22730.43,2945.18,3687.32,7506;4832;2446,Paid,Bank Transfer
D01I40010,D01C4362,D01C2897,2024-06-17,17956.26,1451.28,1975.32,5434,Pending,Cheque
D01I29258,D01C4690,D01C9684,2024-02-10,2463.77,338.22,414.98,8398;8261,Pending,UPI
D01I70872,D01C3083,D01C2550,2024-04-16,342782.27,32031.13,29864.02,3373,Paid,Cash
D01I74177,D01C3443,D01C5570,2024-04-30,25050.35,1628.9,1875.12,1197,Pending,Bank Transfer
D01I99467,D01C6246,D01C1428,2024-01-04,40357.61,3522.21,5142.57,6057;4658,Pending,Cash
D01I80339,D01C4068,D01C2110,2024-03-24,8536.81,1148.83,1184.77,8246;3286;7916,Pending,Cash
D01I65702,D01C7538,D01C6871,2024-04-16,15881.86,1682.69,1647.75,6600;1481;2878,Pending,Cash
D01I20708,D01C3908,D01C3623,2024-02-28,540010.32,53475.8,58744.21,8296;7297;2065,Pending,UPI
D01I41950,D01C9561,D01C9405,2024-05-24,476829.88,73361.46,72534.61,9618;3504,Pending,Bank Transfer
D01I76349,D01C9284,D01C5045,2024-06-03,23089.94,3484.41,4144.35,1338,Cancelled,Bank Transfer
D01I74543,D01C8023,D01C6802,2024-03-23,11565.45,761.37,1200.9,9132;2567;9292,Pending,Cheque
D01I82140,D01C5979,D01C6776,2024-01-15,25647.87,2402.0,1777.47,4155,Cancelled,Bank Transfer
D01I99207,D01C3868,D01C1373,2024-03-30,42478.69,7231.36,4137.57,1834;4500;9171,Pending,Bank Transfer
D01I50037,D01C5365,D01C8304,2024-05-16,669942.63,73945.71,105332.62,9411,Paid,UPI
D01I44675,D01C9048,D01C2462,2024-05-02,21565.25,1288.1,1145.04,8834;3313;9281,Paid,Cheque
D01I44363,D01C8342,D01C8065,2024-04-18,170299.17,26240.26,11316.41,6828;7795,Pending,Cheque
D01I21338,D01C3206,D01C5811,2024-06-05,19041.53,1759.32,2991.12,3545,Pending,Cash
D01I63999,D01C5745,D01C9296,2024-04-26,10307.64,965.55,700.99,7316,Paid,Bank Transfer
D01I39668,D01C2307,D01C8480,2024-03-10,17221.48,1573.44,2625.3,8442;8255;1091,Pending,UPI
D01I86917,D01C8958,D01C4940,2024-03-28,13074.43,809.84,1020.04,4945;4329;1947,Cancelled,Cheque
D01I10820,D01C7930,D01C5456,2024-02-13,99354.54,15557.42,13391.28,6554;8175;1301,Cancelled,Bank Transfer
D01I52642,D01C3627,D01C2437,2024-02-01,34883.82,3293.17,6212.04,4718,Pending,Cash
D01I66929,D01C4476,D01C1232,2024-06-08,72694.62,6694.84,4579.9,2079;2899,Paid,Bank Transfer
D01I87249,D01C2485,D01C9631,2024-02-28,68553.22,3801.23,11900.18,4590,Cancelled,Cash
D01I26320,D01C3283,D01C6093,2024-04-28,8080.81,623.89,934.67,6787;6253,Pending,UPI
