invoice_id,seller_id,buyer_id,invoice_date,amount,gst_amount,itc_claimed,invoice_items,status,payment_method
D10I38641,D10C6948,D10C3598,2024-03-02,23480.19,1189.71,2331.93,6035;7863;3705,Cancelled,Bank Transfer
D10I50485,D10C5672,D10C5000,2024-02-04,24683.71,3748.26,4055.84,5656,Cancelled,Cash
D10I26403,D10C4093,D10C8858,2024-01-12,9967.31,866.79,1773.12,2041;7462;4715,Paid,Bank Transfer
D10I35217,D10C2494,D10C1087,2024-05-08,543756.38,35042.24,65919.52,4015,Cancelled,Bank Transfer
D10I96134,D10C9434,D10C6890,2024-05-16,8073.59,1139.02,1140.88,8978;4221,Paid,Cheque
D10I11131,D10C9238,D10C4840,2024-06-04,13085.3,1075.32,882.31,9535;4339,Cancelled,UPI
D10I43462,D10C4223,D10C5591,2024-04-20,3718.91,265.64,528.36,6165,Pending,Bank Transfer
D10I82344,D10C2644,D10C7663,2024-04-30,38439.83,4943.67,5928.37,9116,Cancelled,Bank Transfer
D10I38403,D10C7832,D10C5310,2024-05-30,8501.91,797.71,1300.78,9091;3339;2544,Pending,Cash
D10I96238,D10C8500,D10C1432,2024-05-09,19513.08,1723.73,3425.4,5363,Cancelled,Cash
D10I56579,D10C3117,D10C2737,2024-02-25,19282.84,2416.68,1412.92,5042;7290,Pending,Bank Transfer
D10I57027,D10C7573,D10C5366,2024-02-03,20907.2,3705.85,1491.57,4915;3146,Cancelled,Bank Transfer
D10I75570,D10C6472,D10C8872,2024-01-17,22047.4,2910.78,3867.56,7508;4878,Paid,UPI
D10I81968,D10C2001,D10C3710,2024-05-03,43016.59,6855.82,2903.22,7460,Cancelled,UPI
D10I69100,D10C2168,D10C3302,2024-02-17,4023.52,210.63,373.33,9930,Paid,Cash
D10I71333,D10C5229,D10C9462,2024-04-24,69791.31,11526.67,11692.94,3191,Cancelled,Cash
D10I34477,D10C7724,D10C2251,2024-04-10,60577.68,7097.97,8751.2,1412;1236;9681,Pending,Bank Transfer
D10I46619,D10C9191,D10C1196,2024-05-27,12120.6,2020.31,1405.31,7471;7744;1125,Cancelled,UPI
D10I59326,D10C3584,D10C8754,2024-01-07,313483.71,43646.35,50926.18,8602;4582;2002,Pending,Bank Transfer
D10I98604,D10C8913,D10C4684,2024-03-03,112522.66,9793.41,18581.94,5435;5884;7672,Pending,Cash
D10I28684,D10C3205,D10C4595,2024-05-03,22032.64,2473.25,3495.08,8478;3499;3009,Paid,Cash
D10I47254,D10C3532,D10C4094,2024-03-20,502603.71,32067.42,60801.03,6344;6289,Pending,Bank Transfer
D10I86709,D10C7230,D10C5118,2024-05-10,57424.45,3383.87,9770.05,7682,Cancelled,Cheque
D10I33742,D10C9238,D10C3982,2024-04-15,14322.48,1828.74,1822.39,6438,Paid,Bank Transfer
D10I15647,D10C1315,D10C2437,2024-01-19,10737.47,1868.65,1849.16,3078;1852;1897,Paid,Cash
D10I62594,D10C2254,D10C7611,2024-02-09,5810.43,673.05,381.97,6119;8666,Cancelled,UPI
D10I70332,D10C7019,D10C1360,2024-04-14,11516.27,609.68,721.62,1234;9982;9272,Paid,Bank Transfer
D10I60757,D10C2182,D10C9902,2024-04-12,45856.52,4513.58,5223.49,9200;1665;3261,Paid,Cash
D10I87685,D10C4063,D10C5468,2024-06-20,28712.66,3067.48,2616.17,2841;3234;5731,Paid,UPI
D10I24785,D10C2908,D10C3982,2024-03-30,8767.69,869.01,1467.48,8427;4409;9021,Paid,Bank Transfer
D10I50019,D10C3184,D10C4490,2024-04-16,48483.92,7829.41,6984.2,4177;1497;5503,Pending,UPI
D10I98731,D10C1509,D10C5310,2024-06-08,49283.6,7407.55,4173.66,4276;4108;3510,Pending,Bank Transfer
D10I29895,D10C1981,D10C7594,2024-01-23,18022.82,2638.95,2620.47,6635;2397;8155,Paid,Cash
D10I89963,D10C3079,D10C6054,2024-05-17,38368.2,4150.91,6561.92,8682;1456;3735,Cancelled,Cheque
D10I27791,D10C9681,D10C7530,2024-06-23,36551.55,6512.64,4804.43,4475;9270;8954,Pending,Bank Transfer
D10I13935,D10C2915,D10C4363,2024-03-07,30202.95,3454.65,4994.76,1830;7454,Paid,Cash
D10I67197,D10C6650,D10C3063,2024-02-27,11849.0,1527.94,1192.42,2808;9927;4750,Paid,Cheque
D10I82434,D10C7466,D10C7425,2024-03-24,16521.53,2823.41,927.92,2111;8869;5006,Pending,Bank Transfer
D10I46444,D10C8143,D10C8557,2024-06-26,539910.27,42297.15,37613.4,6906,Cancelled,Cash
D10I79664,D10C5145,D10C2908,2024-04-23,21725.14,2150.52,3133.61,4998;2646,Paid,UPI
D10I20951,D10C2437,D10C6999,2024-03-26,45652.13,6829.59,7795.91,7095;1065,Cancelled,Bank Transfer
D10I11961,D10C4145,D10C7493,2024-01-14,25983.35,4086.39,1393.73,7910;7509;8112,Cancelled,UPI
D10I74218,D10C3780,D10C1893,2024-04-09,430312.05,53378.94,41103.28,9751,Paid,UPI
D10I68104,D10C5492,D10C2762,2024-02-19,448325.7,26422.72,32860.69,2669;1858,Cancelled,UPI
D10I74789,D10C9504,D10C2522,2024-06-27,15060.87,1256.77,975.58,5709;6630;1465,Cancelled,Cash
D10I83379,D10C7801,D10C2119,2024-01-28,12179.49,1035.53,1439.13,7830;1150;1175,Pending,UPI
D10I71570,D10C2374,D10C8642,2024-05-09,34116.14,6081.4,4438.86,2300;3196;7771,Pending,Cash
D10I48934,D10C3593,D10C3831,2024-02-03,25811.07,1932.76,1671.25,1067;4781,Cancelled,UPI
D10I56632,D10C1809,D10C1550,2024-01-04,25166.73,1955.55,1846.29,1044;3843,Paid,UPI
D10I19486,D10C7018,D10C8664,2024-01-23,11652.72,1759.15,1130.33,8919;9967;1038,Paid,Cash
D10I10842,D10C1209,D10C8444,2024-05-31,53725.62,3859.32,2886.16,9486,Pending,Bank Transfer
D10I19210,D10C1235,D10C2186,2024-02-26,70919.62,10008.93,4446.37,4588;5712,Pending,Cheque
D10I87058,D10C8501,D10C1206,2024-05-29,50227.72,6133.78,7792.64,3865,Cancelled,Cheque
D10I22593,D10C8964,D10C7842,2024-05-07,305594.36,35465.32,54786.83,2622;7982,Cancelled,Bank Transfer
