invoice_id,seller_id,buyer_id,invoice_date,amount,gst_amount,itc_claimed,invoice_items,status,payment_method
D02I75434,D02C9588,D02C7590,2024-03-01,17665.04,2891.94,1193.78,5971;3055,Pending,Cheque
D02I47497,D02C1678,D02C4156,2024-04-15,87179.24,10765.3,8137.17,8904;1925,Paid,Bank Transfer
D02I80093,D02C8907,D02C1087,2024-03-30,13371.35,2338.86,831.28,4690,Cancelled,Cheque
D02I67157,D02C3578,D02C8344,2024-04-23,47625.61,3510.37,2600.54,3328;1617,Cancelled,Cheque
D02I46166,D02C4911,D02C3380,2024-06-13,187621.94,28043.01,15024.28,6792;9731,Paid,Cash
D02I58005,D02C7197,D02C4424,2024-05-23,19967.09,3200.03,2157.16,8316;5142,Cancelled,Bank Transfer
D02I11752,D02C1714,D02C6981,2024-03-06,25875.96,4049.32,2119.86,8285;2133;4637,Cancelled,Bank Transfer
D02I33105,D02C3916,D02C8290,2024-06-05,14952.78,812.53,1752.07,3776;8496,Pending,UPI
D02I38659,D02C1023,D02C6617,2024-03-12,28083.74,1813.17,3462.09,2694;7450,Pending,UPI
D02I25524,D02C3744,D02C2230,2024-05-19,185677.5,29318.55,15906.13,9293;3619,Paid,Cash
D02I42681,D02C5604,D02C9577,2024-01-24,17319.51,3002.94,1379.6,2403,Paid,UPI
D02I79397,D02C5910,D02C6922,2024-01-05,76423.01,6238.69,8337.79,1326;2332,Paid,UPI
D02I47888,D02C4202,D02C9522,2024-04-16,9981.45,975.95,1302.84,8240;7539,Pending,Cheque
D02I34601,D02C7647,D02C6776,2024-06-24,16169.94,2881.82,2382.43,2361;4507,Cancelled,Cash
D02I80559,D02C2494,D02C3833,2024-03-16,4341.98,524.68,472.38,1958,Cancelled,UPI
D02I82847,D02C3193,D02C2408,2024-01-22,218787.42,31130.57,28411.94,2800;3834,Paid,Cash
D02I46092,D02C3381,D02C2657,2024-02-15,57701.63,4888.56,7586.36,8963;9032,Paid,Cash
D02I18100,D02C8533,D02C5066,2024-06-01,34167.14,3833.34,1933.29,7444;8521,Pending,Bank Transfer
D02I87241,D02C2407,D02C9532,2024-03-29,34812.86,3180.02,3985.54,5653;6415;1410,Pending,Cash
D02I75754,D02C3227,D02C9141,2024-04-22,13750.64,1703.06,2338.78,4523;5553,Pending,Bank Transfer
D02I83138,D02C3735,D02C9229,2024-04-21,449056.27,43961.89,75449.77,9921;7803,Paid,Bank Transfer
D02I79224,D02C3608,D02C4659,2024-04-19,32761.53,5868.17,3619.04,4438,Pending,Bank Transfer
D02I23531,D02C2408,D02C7848,2024-01-09,248937.43,22961.96,18006.99,9560;5494,Pending,Bank Transfer
